Name,Freq,MLM,MLD,AW,ANG,,Env,Thickness,Index
n-2.37-hourglass-with substrate-incidence_90deg-st_1-LC_5-freq_54.527,54.527,245,180,54.2,90,,1.0003,1,2.38117618
n-2.37-hourglass-with substrate-incidence_90deg-st_1-LC_5-freq_59.96,59.96,294,180,68.1,90,,1.0003,1,2.38117618
n-2.37-hourglass-with substrate-incidence_30deg-st_1-LC_5-freq_54.527,54.527,245,180,54.2,30,,1.0003,1,2.38117618
n-2.37-hourglass-with substrate-incidence_30deg-st_1-LC_5-freq_59.96,59.96,294,180,68.1,30,,1.0003,1,2.38117618
n-2.37-hourglass-with substrate-incidence_45deg-st_1-LC_5-freq_54.527,54.527,245,180,54.2,45,,1.0003,1,2.38117618
n-2.37-hourglass-with substrate-incidence_45deg-st_1-LC_5-freq_59.96,59.96,294,180,68.1,45,,1.0003,1,2.38117618
n-2.37-hourglass-with substrate-incidence_30deg-st_1-LC_4-freq_53.647,53.647,100,180,65.9,30,,1.0003,1,2.38117618
n-2.37-hourglass-with substrate-incidence_30deg-st_1-LC_4-freq_70.202,70.202,155,180,53.4,30,,1.0003,1,2.38117618
n-2.37-hourglass-with substrate-incidence_30deg-st_1-LC_6-freq_47.87,47.87,400,180,51,30,,1.0003,1,2.38117618
n-2.37-hourglass-with substrate-incidence_45deg-st_1-LC_4-freq_53.678,53.678,100,180,65.9,45,,1.0003,1,2.38117618
n-2.37-hourglass-with substrate-incidence_45deg-st_1-LC_4-freq_70.202,70.202,155,180,53.4,45,,1.0003,1,2.38117618
n-2.37-hourglass-with substrate-incidence_45deg-st_1-LC_6-freq_47.87,47.87,400,180,51,45,,1.0003,1,2.38117618
n-2.37-hourglass-with substrate-incidence_90deg-st_1-LC_4-freq_53.679,53.679,100,180,65.9,90,,1.0003,1,2.38117618
n-2.37-hourglass-with substrate-incidence_90deg-st_1-LC_4-freq_70.184,70.184,155,180,53.4,90,,1.0003,1,2.38117618
n-2.37-hourglass-with substrate-incidence_90deg-st_1-LC_6-freq_47.873,47.873,400,180,51,90,,1.0003,1,2.38117618
SiO2_st-1_at-5_LC-5_pyr_ang-15_incidence-45_freq-30,30,78.6,180,86.2,45,,1.0003,1,1.449137675
SiO2_st-1_at-5_LC-5_pyr_ang-15_incidence-45_freq-43.725,43.725,167,180,64.7,45,,1.0003,1,1.449137675
SiO2_st-1_at-5_LC-5_pyr_ang-15_incidence-45_freq-56.318,56.318,277,180,51.8,45,,1.0003,1,1.449137675
SiO2_st-1_at-5_LC-5_pyr_ang-15_incidence-45_freq-60.69,60.69,321,180,48.3,45,,1.0003,1,1.449137675
SiO2_st-1_at-5_LC-5_pyr_ang-15_incidence-90_freq-30,30,78.6,180,86.2,90,,1.0003,1,1.449137675
SiO2_st-1_at-5_LC-5_pyr_ang-15_incidence-90_freq-43.725,43.725,167,180,64.7,90,,1.0003,1,1.449137675
